ID number,Author last name,Variable name,Strategy name,Coded Value,Textual Evidence,Rationale
3494,Alicea-Planas,strat_4,Conduct local needs assessment,1,They worked only with adult patients and were responsible for one-to-one patient teaching and CC for those identiﬁed as high-risk with uncontrolled diabetes mellitus (DM) (hemoglobin A1c > 9%) and/or uncontrolled hypertension (systolic > 140 and/or diastolic > 90).,"The FQHC used clinical data to identify a specific patient population with uncontrolled chronic diseases, which constitutes a local needs assessment to target the intervention."
3494,Alicea-Planas,strat_10,Stage implementation scale up,1,Initially this FQHC implemented the registered nurse care co-ordination (RNCC) role as a pilot in 2017 with 1 designated RN at 1 site and has since expanded to include 3 full-time RNs at 3 different sites.,"The implementation began as a pilot at a single site with one nurse and was later expanded to three sites with three nurses, demonstrating a staged scale-up approach."
3494,Alicea-Planas,strat_18,Use data warehousing techniques,1,"Data collected for this study included demographic data, number of months in RNCC program, number of RNCC visits, and changes in the following health outcomes: blood pressure (systolic and diastolic), Hgb A1c, and body mass index (BMI) from the electronic health record of each patient.","The study explicitly used secondary data from the electronic health record, including variables like blood pressure and Hgb A1c, as outcome measures to evaluate the program."
3494,Alicea-Planas,strat_23,Develop and/or leveraging academic partnerships,1,"After approval was obtained from the institutional review board, the researchers requested that the data analyst for the quality improvement department create a de-identiﬁed data set for patients who had been seen by 2 of the RNs in the RNCC role between the dates that included the start of the initiative in 2017 until November 1, 2019.",The study was conducted by academic researchers from two universities who partnered with the FQHC to analyze data and evaluate the program.
3494,Alicea-Planas,strat_35,Use an implementation advisor,1,"After approval was obtained from the institutional review board, the researchers requested that the data analyst for the quality improvement department create a de-identiﬁed data set for patients who had been seen by 2 of the RNs in the RNCC role between the dates that included the start of the initiative in 2017 until November 1, 2019.",The study was conducted by university-affiliated faculty who acted as outside experts to evaluate the RNCC program by analyzing its data.
3494,Alicea-Planas,strat_49,Faciliate relay of clinical data to providers,1,These referrals were either sent electronically via the electronic medical record or in-person introductions if the RNCC was available when the patient came in for a primary care visit.,"The electronic medical record was used to send patient referrals from the primary care provider to the registered nurse care coordinator, facilitating the relay of clinical data."
3494,Alicea-Planas,strat_50,Remind clinicans,1,"As this was a new role, providers had to be reminded that these nurses were available to provide the one-to-one education and CC and the referral process was not standardized at the time of this data collection.",The text explicitly states that providers were reminded about the availability of the new RNCC role to encourage referrals.
3494,Alicea-Planas,strat_51,Revise professional roles,1,"In 2017, as part of Patient-Centered Medical Home (PCMH) plus initiative (to improve chronic health outcomes among at-risk populations), the RN role was expanded to include more CC.",The study's core intervention involved deliberately expanding the professional role of registered nurses to include care coordination duties.
3494,Alicea-Planas,strat_53,Intervene with patients/consumers to enhance uptake and adherence,1,"Once an internal referral was in place, the RNCC would call the patient and schedule an initial visit.","The registered nurse care coordinator actively called patients who were referred to the program to schedule their initial visit, which is a direct intervention to enhance patient uptake of the service."
3494,Alicea-Planas,strat_57,Access new funding,1,"This information was provided by the RNCC coordinators and veriﬁed by the administrator that managed the grant, which paid their salaries.","The text explicitly states that a grant was used to pay the salaries of the Registered Nurse Care Coordinators, which constitutes accessing a new funding source to support the program."
3494,Alicea-Planas,strat_63,Place innovation on fee for service lists/formularies,1,The Medicaid/Medicare reimbursement rate per RNCC visit was $117.00 in 2019 to 2020.,"The text indicates a specific reimbursement rate for the RNCC visit, implying the service was placed on a fee-for-service list to enable billing."
3494,Alicea-Planas,strat_65,Use other payment schemes,1,"With 2 RNCCs hired full time for this pilot program and the annual salary for each RNCC being approximately $85 000 per year plus beneﬁts, the projected income would easily cover costs of these 2 positions.","The text states that the Registered Nurse Care Coordinators were hired full-time with an annual salary, which represents a provider salaried service payment scheme."
3494,Alicea-Planas,strat_72,Mandate change,1,"In 2017, as part of Patient-Centered Medical Home (PCMH) plus initiative (to improve chronic health outcomes among at-risk populations), the RN role was expanded to include more CC.","The expansion of the RN role to include care coordination was implemented by the FQHC as part of a larger, organization-wide PCMH plus initiative, indicating a change mandated by leadership."
42,Anarella,strat_1,Assess for readiness and identify barriers and faciliators,1,"Also included was the Assessment of Chronic Illness Care, version 3.5, an assessment tool that the plan-practice teams completed to identify specific changes needed to improve asthma care at the provider site.",The project used a formal assessment tool with plan-practice teams to identify barriers and facilitators to improving asthma care at the provider sites.
42,Anarella,strat_2,Audit and provide feedback,1,"Sharing performance data via this comprehensive suite of measures allowed stakeholders to track team progress relative to baseline, compare measures across teams, and compare measures to Central Brooklyn rates.",The project collected performance data on a suite of measures and shared it with stakeholders to allow for tracking progress and comparing performance against baseline and peers.
42,Anarella,strat_3,Conduct cyclical small tests of change,1,"During action periods (ie, time between learning sessions) plans and provider sites worked together to plan, test, and implement asthma care improvements such as the development of asthma registries, the sharing of population of focus-level hospitalization and pharmacy data by plans with practices, and plans’ facilitation of on-site team meetings to discuss improvement efforts.","By adapting the IHI Breakthrough Series methodology, the project had teams work together to plan, test, and implement improvements in an iterative fashion."
42,Anarella,strat_4,Conduct local needs assessment,1,"The DOH Asthma Control Program, the Medicaid Program, and a contracted improvement consultant, collectively known as the Eliminating Disparities in Asthma Care (EDAC) Leadership Team, conducted a detailed analysis to identify areas of New York City where a relatively small award of funding could have the most impact.",The project conducted a detailed data analysis of asthma care and outcomes to identify gaps in care and select the specific community to target for the intervention.
42,Anarella,strat_5,Develop a formal implementation blueprint,1,"A Collaborative charter was developed and distributed. The charter outlined the participants, the population of focus, and the overall aim of the Collaborative (including performance measure definitions), and summarized the roles and commitment of each partnering entity.","A formal collaborative charter was created and distributed to serve as a blueprint, outlining the project's aims, participants, roles, and commitments."
42,Anarella,strat_7,Develop and organize quality monitoring systems,1,Leveraging the capabilities for electronic health record systems to develop asthma registries was an additional support provided.,The project supported the development of asthma registries using electronic health records to create a system for monitoring the population of focus.
42,Anarella,strat_8,Obtain and use patient/consumer and family feedback,1,"From December 2010 through January 2011, the EDAC Leadership Team and Workgroup developed and conducted a survey of African American Medicaid managed care members who lived in the targeted zip codes and met the HEDIS definition of persistent asthma (N = 1257). The survey was designed to better understand members’ asthma care practices and beliefs, thereby providing a patient perspective to inform the development of EDAC interventions.","A survey was conducted with patients to understand their perspectives on asthma care, and this feedback was used to inform the development of the interventions."
42,Anarella,strat_9,Purposefully reexamine the implementation,1,"In addition, periodic coaches’ calls were conducted by the quality improvement advisor with the plan leads for the project. These calls were focused on addressing identified common challenges and sharing ideas for accelerating the pace of improvement efforts.","The project used periodic coaching calls with project leads to monitor progress, address common challenges, and adjust efforts, indicating a purposeful reexamination of the implementation."
42,Anarella,strat_11,Centralize technical assistance,1,"Expert faculty provided training and technical assistance on clinical guidelines, system change, quality improvement, and social and cultural impacts on health.","The EDAC Leadership Team, a central entity, sponsored learning sessions where expert faculty provided technical assistance to all participating plans and provider sites."
42,Anarella,strat_12,Facilitation,1,"In addition, periodic coaches’ calls were conducted by the quality improvement advisor with the plan leads for the project.","A quality improvement advisor conducted periodic coaching calls with project leads, which constitutes an interactive support process to facilitate implementation."
42,Anarella,strat_14,Provide local technical assistance,1,"Each plan-practice team received individualized technical assistance, such as asthma care guideline education, and review of office systems, including patient flow, to identify areas of improvement.",The project provided individualized technical assistance directly to local plan-practice teams to support their improvement efforts.
42,Anarella,strat_16,Tailor strategies,1,"The survey was designed to better understand members’ asthma care practices and beliefs, thereby providing a patient perspective to inform the development of EDAC interventions.",The project team conducted a survey of the target patient population to understand local needs and used this information to tailor the interventions.
42,Anarella,strat_17,Use data experts,1,"The DOH Asthma Control Program, the Medicaid Program, and a contracted improvement consultant, collectively known as the Eliminating Disparities in Asthma Care (EDAC) Leadership Team, conducted a detailed analysis to identify areas of New York City where a relatively small award of funding could have the most impact.",The project engaged a contracted improvement consultant as part of the leadership team during the planning phase to conduct detailed data analysis.
42,Anarella,strat_18,Use data warehousing techniques,1,Group II measures were calculated by the DOH using Medicaid claim and encounter data among each team’s population of focus.,"The project used existing administrative data from the Medicaid program, such as claims and encounter data, to calculate performance measures."
