ID number,Author last name,Variable name in dataset,strategy number (for sorting),Strategy name,AI Coded Value,Textual Evidence,Rationale,Secondary coder assessment ,Human Coded Value,Notes from secondary coder ,"Team member checking when secondary coder votes ""no"""
4746,Llavona-Ortiz,strat_52,52,Increase demand,1,"When handing over the printed prompt, the CHW encouraged participants to use this document as an icebreaker when discussing their CRCS intentions with their healthcare provider.","The intervention educated patients and provided them with a provider prompt to encourage them to ask for colorectal cancer screening, which fits the definition of increasing demand for a clinical innovation.",yes,1,,
4202,Coronado,strat_53,53,Intervene with patients/consumers to enhance uptake and adherence,1,Participants in the standard condition were mailed a FIT and received live telephone reminders to return it. Participants in the enhanced condition also received a tailored advance notiﬁcation (text message or live phone call) and two automated phone call reminders.,"The study intervention explicitly used advance notifications and various types of reminders (live phone call, automated phone call, text message) to encourage patients to complete and return their mailed fecal immunochemical test kits.",yes,1,,
4247,Coronado,strat_53,53,Intervene with patients/consumers to enhance uptake and adherence,1,"Group 1 patients were delivered the following components: (i) an advance notiﬁcation one-way text message (1–2 days before anticipated receipt of the mailed FIT); (ii) a mailed FIT test; (iii) a series of two automated phone call reminders (sent 2 weeks and 4 weeks following the mailing); and (iv) live reminder calls delivered at the discretion of clinic staff on care teams (beginning six weeks following the mailing), consistent with usual care.","The study implemented an intervention that included advance text message notifications and a series of automated and live phone call reminders to encourage patients to complete the mailed FIT test, which directly aligns with the strategy of intervening with patients to enhance uptake.",yes,1,,
4519,EspinozaSalomon,strat_53,53,Intervene with patients/consumers to enhance uptake and adherence,1,"Each week, a member of the study team reviewed each participant’s data with them, praising achievements, identifying barriers to physical activity, and discussing solutions.","This describes a deliberate strategy of reviewing patient-generated data and problem-solving with them to encourage adherence to the physical activity component of the intervention, which directly fits the definition.",yes,1,,
4052,Gautom,strat_53,53,Intervene with patients/consumers to enhance uptake and adherence,1,"Patient navigators assisted patients with a myriad of services including CRC screening education, barrier assessment, addressing barriers to completing a colonoscopy, language translation, appointment reminders and scheduling, acting as a liaison with the gastroenterology facility, bowel prep education assistance, and transportation and companion assistance.","The patient navigation program directly intervened with patients through reminders, scheduling assistance, and problem-solving around barriers to encourage adherence to the recommended follow-up colonoscopy.",yes,1,,
3994,Ghosh,strat_53,53,Intervene with patients/consumers to enhance uptake and adherence,1,Staff also placed CCS clinic reminder calls 1 d before the scheduled CCS-only clinic.,"The intervention included placing reminder calls to patients one day before their scheduled appointment, which is a specific example of intervening with patients to enhance uptake as defined by the strategy.",yes,1,,
4069,Glasser,strat_53,53,Intervene with patients/consumers to enhance uptake and adherence,1,"As part of this tailored intervention, the patient navigator provided reminder calls prior to colonoscopy procedures at 1 week, 2 days (for prep), and 1 day before to avoid no-shows and last-minute cancellations.",The use of patient navigators to provide reminder calls and follow-up phone calls to ensure screening completion is a direct application of intervening with patients to enhance uptake and adherence.,yes,1,,
4727,Jelalian,strat_53,53,Intervene with patients/consumers to enhance uptake and adherence,1,Brief monthly calls were conducted with families during the delay period as a retention strategy.,"The use of brief monthly calls is a deliberate strategy to keep families engaged and in the study, which directly supports adherence to the study protocol and intervention.",yes,1,,
4701,Katz,strat_53,53,Intervene with patients/consumers to enhance uptake and adherence,1,"If the FIT kit was not returned in two weeks (the timing suggested by community members and supported by research), a mailed reminder letter to complete the FIT was sent to patients in the video brochure group.","The study used mailed reminder letters to prompt patients who had not returned their FIT kit, which is a direct intervention with patients to enhance uptake of the screening test.",yes,1,,
4503,McCann,strat_53,53,Intervene with patients/consumers to enhance uptake and adherence,1,sent 73 outreach messages speciﬁc to scheduling appointments for patients to obtain cervical cancer screening.,"The project sent outreach messages to patients, which function as reminders to schedule appointments and enhance uptake of the screening service, directly aligning with the strategy's definition.",yes,1,,
