ID number,Author last name,Variable name,Strategy name,Coded Value,"Kirsten, Dena, Allison checking ",Textual Evidence,Rationale
4811,Bowen,strat_1,Assess for readiness and identify barriers and faciliators,1,No. Needs to be assessed at the organizational level ,"The survey revealed patients' perspectives on the necessity of obesity reduction, the support of family and friends, and their conﬁdence in their ability to lose and maintain weight.","The project team administered a survey to patients to understand their perspectives on weight loss, support systems, and confidence, which constitutes an assessment of stakeholder attitudes and potential barriers to implementation."
4202,Coronado,strat_1,Assess for readiness and identify barriers and faciliators,1,No.  But can't find a strategy that reflects stakeholder engagement,"We used boot camp translation (BCT; ref. 27), a validated community engagement process, to develop the content and select the format of advance notiﬁcations and reminders for the enhanced program (25).",The use of boot camp translation to solicit patient input on the mode and timing of reminders constitutes an assessment to identify barriers and facilitators for the outreach program.
3994,Ghosh,strat_1,Assess for readiness and identify barriers and faciliators,1,Needs to be assessed at the organizational level ,"Therefore, 118 patients with an overdue CCS were randomly selected for a closer review to evaluate why CCS was not done.",The project team conducted a detailed review of a sample of patient charts to identify specific provider- and patient-related barriers to completing cervical cancer screening.
4701,Katz,strat_1,Assess for readiness and identify barriers and faciliators,1,Would need to check the barriers and facilitators identified.  If these are at the organizational level this is correct,"Three focus groups and five interviews were conducted with 19 community members and four groups with 18 healthcare providers (physicians, nurse practitioners). Discussions centered on barriers and facilitators for CRC screening and the content and format for the proposed intervention materials.","The researchers conducted focus groups and interviews with community members and healthcare providers to explicitly identify barriers and facilitators to colorectal cancer screening, which directly informed the intervention's development."
5032,Burgermaster,strat_10,Stage implementation scale up,1,Correct,"In this pilot cRCT, our major goal was to assess trial and intervention feasibility to plan for a larger multisite pragmatic clinical trial in the future.","The study is explicitly described as a pilot trial conducted to assess feasibility before planning a larger, scaled-up clinical trial, which is the definition of staging implementation."
4202,Coronado,strat_10,Stage implementation scale up,1,Correct,"We pilot-tested three versions of the program in two health center clinics, using an individual randomized design.","The study conducted a pilot test in two clinics to select the best intervention version before rolling it out to 15 clinics in the main trial, which is a form of staged scale-up."
4674,HudakKMA,strat_10,Stage implementation scale up,1,,This pilot program suggests that a partnership between an FQHC and a local food bank can be an effective model for reaching patients with food insecurity and diet-related chronic conditions.,"The study is explicitly described as a pilot program, which represents the initial, small-scale phase of a staged implementation approach before a potential system-wide rollout."
3528,Kim,strat_10,Stage implementation scale up,1,,The objective was to assess the outcomes of a pilot prior to considering expansion of the program to a larger group of patients at the clinic.,"The project was explicitly designed as a pilot to test the intervention before a potential larger-scale expansion, which is the definition of staging implementation scale-up."
3987,Nuno,strat_10,Stage implementation scale up,1,,"Our future plans include the implementation of MSD as a larger prospective cohort study in ﬁve FQHCs in Southern and Central Arizona, to have a greater reach to the US Hispanic populations in the state.",The study is explicitly described as a pilot study conducted in two health centers to assess feasibility and outcomes before a planned larger-scale implementation in five additional health centers.
4647,Samuel-Hodge,strat_10,Stage implementation scale up,1,,Successful implementation of Med-South in these rural public health settings set the stage for tailoring these implementation strategies for the current study focused on statewide scale-up (35).,"The paper explicitly describes the current statewide scale-up as the culmination of previous, smaller studies in public health settings, which represents a staged approach to scaling up the intervention."
4684,Thakur,strat_10,Stage implementation scale up,1,,"Our pilot project was able to successfully recruit 148 participants for the CGM program, along with an enumeration of lessons learned. The reduction of HbA1c levels from baseline to follow-up periods demonstrates the potential and possibility of CGM devices in glycemic control. This suggests that CGM is an effective tool for the management of diabetes, even in resource-constrained environments serving diverse patient populations.","The paper describes a pilot project with a limited number of participants and explicitly discusses using the findings and lessons learned to inform future scalability and sustainability, which is the essence of staging implementation scale-up."
4115,Walker,strat_10,Stage implementation scale up,1,,"ECHO Diabetes used a variation of a stepped-wedge study design (11), allowing for two phases of program kick-off and patient recruitment at spokes.","The study employed a stepped-wedge design, which is a formal research method for phasing the intervention rollout to different groups of clinics at different times, fitting the definition of staging the implementation."
4052,Gautom,strat_11,Centralize technical assistance,1,,"Additionally, our program was delivered by clinic staff who were trained by the research team, reflecting ‘real world’ implementation of the program.","The research team, a central entity external to the implementing clinic, trained the local clinic staff on how to deliver the patient navigation program, which constitutes centralized technical assistance for implementation."
3994,Ghosh,strat_11,Centralize technical assistance,1,,A messaging pool was created in the EMR for providers to ask gynecologists questions about CCS necessity or frequency during the validation process. Three staff gynecologists volunteered for this task.,"This describes a centralized system (the EMR messaging pool) where designated experts (three gynecologists) provided on-demand technical assistance to a team of providers on an implementation issue, which fits the definition of centralizing technical assistance."
3528,Kim,strat_11,Centralize technical assistance,1,Correct,"Over 6 months, the ACTIVATE team met with clinic codesigners in several workstream meetings every 2 weeks: digital health pathway (clinic workﬂow, care coordination), technology (information technology, technology education, and training), and community engagement (digital health barriers, health education, patient outreach).","The external ACTIVATE research team provided centralized, ongoing technical assistance to the clinic staff on implementation issues like workflow, technology, and training through structured bi-weekly meetings."
3971,Kruse,strat_11,Centralize technical assistance,1,Correct,Mass League provided training with DRVS to support creation of registries and summary data to guide adaptation (Table 1).,"A central entity, the Massachusetts League of Community Health Centers (Mass League), provided technical assistance in the form of data system training to all participating health centers."
