Cluster number ,Cluster name ,Strategy_ID ,Strategy name,Strategy definition (brief),Strategy definition (extended)
1,Evaluative and iterative strategies ,strat_1,Assess for readiness and identify barriers and faciliators,"Assess various aspects of an organization to determine its degree of readiness to implement, barriers that may impede implementation, and strengths that can be used in the implementation effort","Readiness assessments may focus on agency finances, staffing levels, and other material or logistical resources needed, or available, to support the implementation effort. Further this assessment may also focus on leadership support, the organizational priority for change, and the presence of successful experience with quality improvement techniques and change management. Additional aspects for assessment may include other services provided, as well as community support, stakeholder attitudes, and beliefs and perceptions of evidence for the innovation or change. Rationale for current practices, organizational climate and culture, structure, decision-making styles, and the perceived needs of frontline stakeholders to implement the change or innovation (consider adaptation needs and limits) are also important aspects to consider in this assessment. Readiness assessments can be used to vet, eliminate, or prioritize implementation sites. More so, the assessment can help make internal decisions about whether to go ahead with an implementation initiative. Some barriers can be difficult to observe prior to implementation. Specific measures have been created to assess readiness for change, which may be useful (e.g., [1–3])."
1,Evaluative and iterative strategies ,strat_2,Audit and provide feedback,"Collect and summarize clinical performance data over a specified time period and give it to clinicians and administrators to monitor, evaluate, and modify provider behavior","The information may be obtained from a variety of sources, including medical records, computerized databases, observation, or feedback from patients. Performance evaluations may also be considered as audit and feedback data if the evaluation included specific information on clinical performance. Feedback summaries may include recommendations. Feedback may be displayed publicly, and often involves comparisons to peers or to local, state, national, or international norms. Feedback may be designed to guide a clinician in improving fidelity. It should also be noted that audit and feedback data can be helpful in promoting the continuation of intended behavior. Performance data may include process variables, outcomes, or fidelity measures. Feedback can include mandatory performance measures, which are related to benchmarks from the literature or normative data within an organization or industry."
1,Evaluative and iterative strategies ,strat_3,Conduct cyclical small tests of change,"Implement changes in a cyclical fashion using small tests of change before taking changes system-wide. Tests of change benefit from systematic measurement, and results of the tests of change are studied for insights on how to do better. This process continues serially over time, and refinement is added with each cycle","Two common small tests of change cycling strategies are “Plan-Do-Study-Act” from Deming’s quality management work [4], and six sigma’s Define- Measure- Analyze-Improve-Control sequence [5]"
1,Evaluative and iterative strategies ,strat_4,Conduct local needs assessment,Collect and analyze data related to the need for the innovation,"This assessment could be focused on: (1) outcomes of usual care; (2) process of care; (3) descriptions of usual care and its distance from evidence-based care (e.g., gaps in care); (4) opinions from stakeholders (including patients) on (a) barriers and facilitators to the desired outcome (e.g., recovery from mental illness), (b) the need for any innovation (i.e., tension for change), (c) the need for a specific innovation, or (d) the special considerations for delivering the innovation in the local context. Common needs assessment methods include surveys, focus groups, key informant interviews, direct observation, and data mining of administrative records utilized to identify target populations, as well as identify baseline care process and outcome clinical care data. If the change involves multiple sites or facilities, then it is necessary to examine practice variation across facilities, and outline strategies for the needs assessment to support a standardized approach across sites. Collecting data from a random sample of stakeholders may be necessary to reduce response bias and decrease chances that the level of need is not over or under-estimated."
1,Evaluative and iterative strategies ,strat_5,Develop a formal implementation blueprint,"Develop a formal implementation blueprint that includes all goals and strategies. The blueprint should include the following: 1) aim/purpose of the implementation; 2) scope of the change (e.g., what organizational units are affected); 3) timeframe and milestones; and 4) appropriate performance/progress measures. Use and update this plan to guide the implementation effort over time","The implementation blueprint or manual may be informed by one or more theories or conceptual frameworks and/or data from pre-implementation needs assessments. This blueprint can also provide a useful historical record of the implementation process, as well as provide a mechanism to track changes over time. The implementation blueprint is often useful to ensure feedback is received from prospective frontline users of the blueprint prior to implementation. Consider coordinating this strategy wiht the development of a fidelity monitoring tool. Issues to consider separately, especially for research purposes: (1) number and type of implementation strategies; (2) organizational levels involved--this can vary by type of intervention. It may be posible to do some interventions at the lowest level. Others may require top management; (3) Pre-implementation assessments would be a separate step. Other examples of how to create an implementation blueprint include the CDC's Replicating Effective Programs [6-7]"
1,Evaluative and iterative strategies ,strat_6,Develop and implement tools for quality monitoring,"Develop, test, and introduce into quality-monitoring systems the right input—the appropriate language, protocols, algorithms, standards, and measures (of processes, patient/consumer outcomes, and implementation outcomes) that are often specific to the innovation being implemented","These tools should be flexible enough to reflect fidelity, even after adaptations to the setting or client. Performance sites can benefit when these tools are available locally, particularly to help clinicians develop a sense of ownership for the change process. Quality monitoring tools can be coordinated with other strategies to encourage or reward performance that is in alignment with the clinical innovation. See Krein et al. [11] for an example of this process"
1,Evaluative and iterative strategies ,strat_7,Develop and organize quality monitoring systems,Develop and organize systems and procedures that monitor clinical processes and/or outcomes for the purpose of quality assurance and improvement,"This includes developing systems for monitoring through peer reviews, collecting data from patients and consumers, clinicians, and supervisors, and using administrative and electronic record data. This category of strategies also includes the design of disease-specific clinical registries, where clinical information and tools (graphical representations, real-time report cards, comparisons with benchmarks, etc.) are available to care team members. These systems may inform audit and feedback strategies. Some intensive fidelity monitoring activities (e.g., psychotherapy recordings) are more practical at random, but not infrequent, intervals."
1,Evaluative and iterative strategies ,strat_8,Obtain and use patient/consumer and family feedback,Develop strategies to increase patient/consumer and family feedback on the implementation effort,"This can continue throughout the implementation effort. Strategies could include complaint forms, or methods, which funnel feedback to change managers or advisory boards. Consider whether anonymous feedback formats are appropriate."
1,Evaluative and iterative strategies ,strat_9,Purposefully reexamine the implementation,Monitor progress and adjust clinical practices and implementation strategies to continuously improve the quality of care,It is beneficial to use a concrete schedule for monitoring rather than ‘as needed.’ Time-sensitive benchmarks for determining when adjustments are needed have also been found to be useful
1,Evaluative and iterative strategies ,strat_10,Stage implementation scale up,Phase implementation efforts by starting with small pilots or demonstration projects and gradually move to a system wide rollout,"This involves an iterative process that often results in adaptations. Strategies for integrating pilot feedback into the scale-up or spread process should be established in advanced. Depending on the innovation, piloting may also involve phasing in elements or components of the practice change. Many innovations involve more than one service (e.g., inpatient and outpatient; primary care and specialty care), and the scaling-up or spread process may have different needs to address the interactions among services (e.g. needs related to ensure continuity of care while connecting services). For more details see the Institute for Healthcare Improvement’s white paper, which describes a framework for spread [12]"
