ID number,Author last name,Variable name in dataset,strategy number (for sorting),Strategy name,AI Coded Value,Textual Evidence,Rationale,Secondary coder assessment ,Human Coded Value,Notes from secondary coder ,"Team member checking when secondary coder votes ""no""",Rationale
3936,Farley,strat_19,19,Build a coalition,1,The Federally Qualified Urban Health Network (FUHN) is an organization of 10 FQHCs located in the Twin Cities and Mankato areas of Minnesota operating under an integrated health partnership serving underserved populations.,"The implementation took place within an established integrated health partnership of multiple FQHCs, which constitutes a coalition of partners for the implementation effort.",Correct,1,"Jure, in our prior coding we coded things such as the following as evidence of a coalition (The Oregon health plan collaborated with six FQHC; 27 practices were approached for enrollment, all of which had established relationships with 1 of the 3 participating regional PBRNs; The partners engaged in the application of the VTF within each project year included: National Association of Community Health Centers, â€¦Health Centers, â€¦Primary Care Associations, â€¦Health Center Controlled Networks) .",,
4052,Gautom,strat_19,19,Build a coalition,1,"PRECISE was conducted as a partnership between the Kaiser Permanente Center for Health Research and Sea Mar Community Health Centers, a large, multi-facility FQHC headquartered in Seattle, Washington.","The text explicitly states the study was conducted as a partnership between a research center and a community health center, which fits the definition of recruiting partners for an implementation effort.",Correct,1,,,
4069,Glasser,strat_19,19,Build a coalition,1,"In 2016, Roswell Park Comprehensive Cancer Center (Roswell), an NCI-designated cancer center in downtown Buffalo, partnered with the Jericho Road Community Health Center (JRCHC) to increase CRC screening rates as a quality improvement (QI) intervention.",The project established a formal partnership between a cancer center and an FQHC to cultivate relationships and work together on the implementation effort.,No,0,I coded as no because Roswell was the academic site (all papers have an academic site; the coalition should go beyond the connection between the academic site and one FQHC),No,Agree with secondary coder
4701,Katz,strat_19,19,Build a coalition,1,"The pilot study was conducted in partnership with a federally qualified health center (FQHC) located in Scioto County, Ohio to pilot test the mailed FIT outreach program, called Fit Starts at 45.","The research team recruited and cultivated a relationship with an FQHC partner to collaborate on the implementation effort, with the FQHC taking responsibility for tasks like identifying patients and managing results.",No,0,,No,Same logic as above
4545,TangkaFKL,strat_19,19,Build a coalition,1,"For its own mission and CRCCP‐outlined goals AltaMed has created partnerships with primary care associations, hospitals, and social need providers to improve health equity and increase CRC screening uptake in its patient population.",This quote indicates that the organization deliberately formed relationships with external partners like hospitals and social need providers specifically to support the implementation goal of increasing colorectal cancer screening uptake.,Correct,1,,,
4684,Thakur,strat_19,19,Build a coalition,1,"The authors express their gratitude to Abbott for donating the Libre Pro sensors for participants, as well as the Abbott Fund’s ongoing support of digital health programs at the Community-University Health Care Center (CUHCC).","This describes a partnership with an external company, Abbott, which provided essential resources (sensors) and ongoing support for the implementation effort, fitting the definition of building a coalition.",Correct,1,,,
3934,Venishetty,strat_19,19,Build a coalition,1,Most of the program’s work is done through collaborative agreements and collaborations with multiple community organizations and FQHCs.,"This quote describes the recruitment and cultivation of relationships with FQHCs and other community organizations as partners in the implementation effort, which is the core of building a coalition.",Correct,1,,,
4202,Coronado,strat_21,21,Conduct local consensus discussions,1,"We used boot camp translation (BCT; ref. 27), a validated community engagement process, to develop the content and select the format of advance notiﬁcations and reminders for the enhanced program (25).","The study used a community engagement process called boot camp translation to involve patients in developing the content and format of the intervention materials, which aligns with conducting local consensus discussions to ensure appropriateness.",Correct,1,"This could have been coded as engage patients and families, but I chose to code it as consensus building because it likely focused on providers etc and we would likely have coded it as yes, sort of based on our prior coding ",,
3994,Ghosh,strat_21,21,Conduct local consensus discussions,1,"This data was presented to the EBNHC clinical and administrative leadership in February 2021. A proposal was made to (1) validate the overdue CCS list, (2) create CCS-­only clinics, and (3) improve clinical and electronic CCS workflows. This project was approved by the Project Steering Committee March 2021.","The project team presented data on the problem of overdue screenings to local clinical and administrative leadership, who then discussed and approved the proposed intervention, which fits the definition of conducting local consensus discussions to establish the problem's importance.",Correct,1,,,
4069,Glasser,strat_21,21,Conduct local consensus discussions,1,"Using a community-based participatory approach, we collectively designed and developed an intervention to improve the CRC screening rates.","The project involved local stakeholders in collectively designing the intervention, which constitutes a local consensus discussion to ensure the appropriateness of the approach.",Correct,1,,,
4701,Katz,strat_21,21,Conduct local consensus discussions,1,"The pilot study followed the development of the program by extensive input from Appalachian community members and healthcare providers practicing in Appalachia Ohio that occurred prior to the start of the COVID-19 pandemic. Three focus groups and five interviews were conducted with 19 community members and four groups with 18 healthcare providers (physicians, nurse practitioners).",The study included local community members and healthcare providers in focus groups and interviews to discuss barriers to screening and the appropriateness of the proposed intervention materials.,Correct,1,,,
