ID number,Author last name,Variable name in dataset,strategy number (for sorting),Strategy name,AI Coded Value,Textual Evidence,Rationale,Secondary coder assessment ,Human Coded Value,Notes from secondary coder ,"Team member checking when secondary coder votes ""no"""
4811,Bowen,strat_1,1,Assess for readiness and identify barriers and faciliators,1,"The survey revealed patients' perspectives on the necessity of obesity reduction, the support of family and friends, and their conﬁdence in their ability to lose and maintain weight.","The project team administered a survey to patients to understand their perspectives on weight loss, support systems, and confidence, which constitutes an assessment of stakeholder attitudes and potential barriers to implementation.",No. Needs to be assessed at the organizational level ,0,Agree--there is no org level assessment done,No
4202,Coronado,strat_1,1,Assess for readiness and identify barriers and faciliators,1,"We used boot camp translation (BCT; ref. 27), a validated community engagement process, to develop the content and select the format of advance notiﬁcations and reminders for the enhanced program (25).",The use of boot camp translation to solicit patient input on the mode and timing of reminders constitutes an assessment to identify barriers and facilitators for the outreach program.,"No.  Coded us ""conduct local consenus discussions""",0,Agree--this was more of user centered intervention design than an org assessment of readiness or barriers,No
3994,Ghosh,strat_1,1,Assess for readiness and identify barriers and faciliators,1,"Therefore, 118 patients with an overdue CCS were randomly selected for a closer review to evaluate why CCS was not done.",The project team conducted a detailed review of a sample of patient charts to identify specific provider- and patient-related barriers to completing cervical cancer screening.,No. Needs to be assessed at the organizational level ,0,Agree--while patient and provider assessments were done this was not org level.,No
4701,Katz,strat_1,1,Assess for readiness and identify barriers and faciliators,1,"Three focus groups and five interviews were conducted with 19 community members and four groups with 18 healthcare providers (physicians, nurse practitioners). Discussions centered on barriers and facilitators for CRC screening and the content and format for the proposed intervention materials.","The researchers conducted focus groups and interviews with community members and healthcare providers to explicitly identify barriers and facilitators to colorectal cancer screening, which directly informed the intervention's development.",No. Needs to be assessed at the organizational level ,0,Agree--the focus was barriers to CRC screening completion and was limited to 1 clinic--it does not appear that any organizational barriers were considered.,No
3994,Ghosh,strat_2,2,Audit and provide feedback,1,"The importance of the problem, magnitude of the deficit, and goals of the QI project were presented to all staff during quarterly staff meetings by the Chief Medical Officer.",Performance data regarding the screening deficit was collected and presented to all staff in meetings to provide feedback and motivate changes in practice.,No.  Should seek to change provider beahviors.  Need to review examples of how coded  ,1,"Disagree--change to ""yes""...the authors describe the intervention as using audit and feedback, ""The multicomponent intervention utilized best practices
as recommended by the Center for Disease Control and Prevention’s (CDC’s) Community Preventive
Services Task Force community guide, including interventions to increase community demand
(client reminders), interventions to increase community access (extended hours), and interventions
to increase provider delivery of screening services (provider assessment and feedback).""  The feedback was provided at project staff meetings (pg 13)",Yes
4069,Glasser,strat_2,2,Audit and provide feedback,1,"core members of the team meet quarterly to review the QI reports and continue to enhance the program, identifying any subpopulations needing a different strategy as part of the continuous QI process.","The team reviewed performance data (QI reports) on a regular schedule to provide feedback and guide program enhancements, which is the definition of audit and provide feedback.",No.  Should seek to change provider beahviors ,1,Disagree--based on the textual evidence ,Yes
3528,Kim,strat_2,2,Audit and provide feedback,1,"The health care teamlet met in a huddle every week to discuss RPM data, treatment goals and current status, and adjustments to care plans.","The project collected patient performance data via remote patient monitoring, summarized it, and provided it to the clinical team in weekly huddles to review and adjust care plans, which is the core definition of audit and feedback.",No,0,Agree,No
3971,Kruse,strat_2,2,Audit and provide feedback,1,Mass League provided training with DRVS to support creation of registries and summary data to guide adaptation (Table 1).,"This describes the process of creating summary performance data (registries) and using it to inform changes to the implementation (adaptation), which is the core of audit and feedback.",No,0,Agree,No
3974,Shareef,strat_2,2,Audit and provide feedback,1,Initiate provider feedback to prompt result review if incomplete,"The patient navigator's role included auditing whether providers had reviewed results and providing feedback to prompt them to complete this step, which directly aligns with the definition of audit and provide feedback.",Correct,1,"Agree--this is a ""yes""",Yes
4069,Glasser,strat_3,3,Conduct cyclical small tests of change,1,"Throughout the implementation of this intervention, barriers and facilitators were identified, and we adapted the intervention accordingly to meet the needs of this diverse patient population using a continuous QI methodology. This included the development of visual aids for patient education in the early stages of the intervention...","The team used a continuous quality improvement methodology to identify a need and test a change by developing and implementing visual aids, which represents a cyclical small test of change.",Correct,1,"Flag--the textual evidence includes an assessment of barriers and faciliators but this was not in that group for coding.  This should also have been coded as strat_1, but it was not.",
